1.43E+12,-14,-12,5,-2,18,8,-11,-27,0
1.43E+12,10,25,1,25,13,15,68,76,0
1.43E+12,-27,0,68,25,4,-5,-64,-100,0
1.43E+12,24,7,-14,21,-1,1,-3,9,0
1.43E+12,15,-25,-92,2,0,-1,22,29,0
1.43E+12,74,-8,-9,41,1,-2,9,60,0
1.43E+12,-9,-3,15,-33,-8,-6,-1,8,0
1.43E+12,23,-18,-57,63,9,0,-22,-51,0
1.43E+12,0,17,62,1,3,0,0,51,0
1.43E+12,-39,1,-25,-12,-5,-1,-7,-52,0
1.43E+12,25,19,-74,-33,-27,-10,3,32,0
1.43E+12,-9,-11,-19,-21,2,5,14,29,0
1.43E+12,-10,-28,-7,5,2,-8,-81,-76,0
1.43E+12,-16,-6,-26,20,10,-2,-37,-103,0
1.43E+12,-20,18,48,-14,3,4,-12,-36,0
1.43E+12,8,-24,50,32,22,14,17,6,0
1.43E+12,-35,-8,-17,-2,-4,-10,-41,-5,0
1.43E+12,-4,43,91,6,-3,2,39,48,0
1.43E+12,4,-6,-71,13,-3,-6,-14,0,0
1.43E+12,25,-16,32,-21,9,3,61,122,0
1.43E+12,-5,-9,-80,-73,-30,-16,-2,21,0
1.43E+12,25,26,31,20,5,-2,-19,-47,0
1.43E+12,82,-47,-106,4,-23,-6,47,107,0
1.43E+12,22,31,16,104,1,-4,9,-3,0
1.43E+12,21,22,-18,-26,9,9,33,59,0
1.43E+12,2,-6,2,0,2,0,7,3,0
1.43E+12,-79,24,-12,-73,-2,3,0,19,0
1.43E+12,-20,1,1,62,5,-8,-50,-96,0
1.43E+12,-64,4,32,59,16,9,14,-13,0
1.43E+12,65,5,-29,24,1,1,-3,0,0
1.43E+12,35,-11,-69,6,10,2,-17,-64,0
1.43E+12,-39,-4,34,1,9,13,25,42,0
1.43E+12,-20,22,15,-23,-3,-18,-59,-84,0
1.43E+12,-45,-53,-62,-7,-49,-22,-13,-57,0
1.43E+12,10,-45,90,59,-22,-10,-3,-30,0
1.43E+12,30,-2,9,-38,-1,10,21,17,0
1.43E+12,-10,13,-108,-20,4,4,36,58,0
1.43E+12,-26,-50,28,53,4,4,20,-72,0
1.43E+12,-2,-10,-62,-5,0,2,-5,32,0
1.43E+12,26,44,-10,32,4,10,30,30,0
1.43E+12,113,-24,-10,109,25,10,17,-5,0
1.43E+12,-102,-5,-30,55,-5,-13,-62,-89,0
1.43E+12,-2,36,-42,-112,-14,-2,5,2,0
1.43E+12,-4,-7,13,-24,-22,-10,15,69,0
1.43E+12,-6,-3,-29,47,1,0,18,1,0
1.43E+12,-72,-76,-79,-28,-17,-11,-18,-18,0
1.43E+12,64,33,27,10,27,20,26,76,0
1.43E+12,-41,6,-15,-22,2,4,-2,-16,0
1.43E+12,24,-15,-81,-44,-7,-2,10,36,0
1.43E+12,13,-34,-52,-4,-5,0,34,62,0
1.43E+12,-48,-20,-41,-33,5,1,-4,-17,0
1.43E+12,-7,21,-43,-23,9,7,0,4,0
1.43E+12,-6,41,47,20,7,3,-10,-36,0
1.43E+12,-15,-15,39,16,-9,-6,-26,-39,0
1.43E+12,43,39,9,25,-2,3,49,98,0
1.43E+12,-95,-81,-60,98,18,7,17,50,0
1.43E+12,-34,-14,40,-41,-7,-2,12,-39,0
1.43E+12,118,47,99,2,5,-4,-9,-14,0
1.43E+12,48,11,-67,-30,-7,-5,-2,14,0
1.43E+12,-17,-50,10,-6,-2,6,31,65,0
1.43E+12,15,23,36,-6,-14,-12,-20,-40,0
